episode,reward,acc,loss,reward_ma10,acc_ma10
148,0.4000,0.5833,-0.2448,0.2040,0.5075
149,-0.0525,0.3390,-0.2269,0.1687,0.4981
150,-0.0167,0.4000,-0.1918,0.1697,0.4986
151,0.3500,0.5556,-0.2031,0.1597,0.5113
152,0.0000,0.7500,-0.2063,0.1547,0.5231
153,-0.0500,0.5455,-0.1896,0.1131,0.5376
154,0.3311,0.6486,-0.2036,0.1212,0.5525
155,0.1000,0.4531,-0.2252,0.1412,0.5395
156,-0.2500,0.4706,-0.2156,0.0812,0.5246
157,-0.1500,0.6538,-0.2142,0.0662,0.5400
158,-0.0500,0.4375,-0.2125,0.0212,0.5254
159,-0.1115,0.6923,-0.2235,0.0153,0.5607
160,-0.0500,0.3636,-0.2162,0.0120,0.5571
161,0.1000,0.4937,-0.2354,-0.0130,0.5509
162,0.2000,0.6250,-0.2094,0.0070,0.5384
163,-0.1000,0.3600,-0.2253,0.0020,0.5198
164,-0.1000,0.4865,-0.2483,-0.0412,0.5036
165,0.2000,0.3333,-0.2767,-0.0312,0.4916
166,-0.0500,0.5161,-0.2835,-0.0112,0.4962
167,0.0000,0.5507,-0.3352,0.0038,0.4859
168,0.0500,0.6111,-0.3080,0.0138,0.5032
169,0.1000,0.5000,-0.3346,0.0350,0.4840
170,-0.1500,0.4667,-0.3065,0.0250,0.4943
171,0.2500,0.6000,-0.3328,0.0400,0.5049
172,0.2714,0.4286,-0.3119,0.0471,0.4853
173,0.0500,0.5385,-0.3675,0.0621,0.5031
174,0.1500,0.5833,-0.3598,0.0871,0.5128
175,-0.0500,0.4894,-0.3427,0.0621,0.5284
176,-0.1000,0.4167,-0.3324,0.0571,0.5185
177,0.2667,0.4667,-0.3219,0.0838,0.5101
178,-0.0500,0.3571,-0.2889,0.0738,0.4847
179,-0.1000,0.4737,-0.3248,0.0538,0.4821
180,-0.1500,0.5517,-0.3364,0.0538,0.4906
181,0.0000,0.5435,-0.3244,0.0288,0.4849
182,0.0056,0.5278,-0.3728,0.0022,0.4948
183,0.1500,0.3889,-0.3728,0.0122,0.4799
184,-0.0851,0.5821,-0.3377,-0.0113,0.4797
185,-0.1500,0.3636,-0.3574,-0.0213,0.4672
186,0.0000,0.5238,-0.3047,-0.0113,0.4779
187,-0.1500,0.4286,-0.3157,-0.0530,0.4741
188,-0.2000,0.7500,-0.3016,-0.0680,0.5134
189,-0.1500,0.5161,-0.3120,-0.0730,0.5176
190,-0.2000,0.5676,-0.2819,-0.0780,0.5192
191,0.0000,0.6774,-0.3077,-0.0780,0.5326
192,-0.0500,0.5526,-0.2626,-0.0835,0.5351
