7,conc_pop,0,0.3036,0.0738,0.2381,0.1152,0.5033,0.1806,0.0000,8.00
7,conc_pop,2,0.3300,0.1158,0.2482,0.1376,0.5242,0.2535,0.7539,8.00
7,conc_pop,4,0.3413,0.1264,0.2488,0.1443,0.5350,0.2606,0.7898,8.00
7,conc_pop,8,0.3509,0.1266,0.2546,0.1524,0.5544,0.2725,0.8080,8.00
7,contactor,0,0.3036,0.0738,0.2381,0.1152,0.5033,0.1806,0.0000,8.00
7,contactor,2,0.3295,0.1269,0.2565,0.1540,0.5235,0.2536,0.8086,8.00
7,contactor,4,0.3674,0.1576,0.2657,0.1709,0.5926,0.2972,0.8671,8.00
7,contactor,8,0.3674,0.1594,0.2647,0.1756,0.5836,0.3150,0.9205,8.00
7,entdistill_ep4,0,0.3036,0.0738,0.2381,0.1152,0.5033,0.1806,0.0000,5.36
7,entdistill_ep4,2,0.3501,0.1276,0.2329,0.1415,0.5788,0.2642,0.5918,5.36
7,entdistill_ep4,4,0.3590,0.1402,0.2469,0.1461,0.5748,0.2789,0.6513,5.36
7,entdistill_ep4,8,0.3597,0.1526,0.2501,0.1568,0.5738,0.3037,0.7492,5.36
11,entropy,0,0.3200,0.0822,0.2388,0.1201,0.5219,0.1797,0.0000,5.15
11,entropy,2,0.3612,0.1208,0.2452,0.1388,0.5804,0.2497,0.3609,5.15
11,entropy,4,0.3658,0.1385,0.2513,0.1546,0.5821,0.2687,0.5427,5.15
11,entropy,8,0.3624,0.1459,0.2453,0.1545,0.5617,0.2873,0.6359,5.15
11,conc_pop,0,0.3200,0.0822,0.2388,0.1201,0.5219,0.1797,0.0000,7.99
11,conc_pop,2,0.3318,0.1220,0.2429,0.1553,0.5041,0.2530,0.7460,7.99
11,conc_pop,4,0.3408,0.1325,0.2475,0.1572,0.5266,0.2690,0.7875,7.99
11,conc_pop,8,0.3469,0.1287,0.2536,0.1599,0.5380,0.2561,0.8051,7.99
11,contactor,0,0.3200,0.0822,0.2388,0.1201,0.5219,0.1797,0.0000,8.00
11,contactor,2,0.3346,0.1317,0.2526,0.1671,0.5284,0.2522,0.8043,8.00
11,contactor,4,0.3708,0.1664,0.2584,0.1793,0.5986,0.3163,0.8655,8.00
11,contactor,8,0.3708,0.1697,0.2628,0.1852,0.5808,0.3355,0.9177,8.00
