3,entdistill_ep9,8,0.3594,0.1461
3,entdistill_ep10,0,0.3037,0.0791
3,entdistill_ep10,2,0.3504,0.1354
3,entdistill_ep10,4,0.3578,0.1398
3,entdistill_ep10,8,0.3592,0.1473
7,entropy,0,0.3036,0.0738
7,entropy,2,0.3456,0.1138
7,entropy,4,0.3553,0.1305
7,entropy,8,0.3585,0.1380
7,conc_pop,0,0.3036,0.0738
7,conc_pop,2,0.3300,0.1158
7,conc_pop,4,0.3413,0.1264
7,conc_pop,8,0.3509,0.1266
7,entdistill_ep1,0,0.3036,0.0738
7,entdistill_ep1,2,0.3434,0.1216
7,entdistill_ep1,4,0.3608,0.1396
7,entdistill_ep1,8,0.3617,0.1490
7,entdistill_ep2,0,0.3036,0.0738
7,entdistill_ep2,2,0.3501,0.1276
7,entdistill_ep2,4,0.3604,0.1380
7,entdistill_ep2,8,0.3601,0.1507
7,entdistill_ep3,0,0.3036,0.0738
7,entdistill_ep3,2,0.3501,0.1276
7,entdistill_ep3,4,0.3590,0.1402
7,entdistill_ep3,8,0.3601,0.1527
7,entdistill_ep4,0,0.3036,0.0738
7,entdistill_ep4,2,0.3501,0.1276
7,entdistill_ep4,4,0.3590,0.1402
7,entdistill_ep4,8,0.3597,0.1526
7,entdistill_ep5,0,0.3036,0.0738
7,entdistill_ep5,2,0.3491,0.1275
7,entdistill_ep5,4,0.3590,0.1402
7,entdistill_ep5,8,0.3606,0.1508
7,entdistill_ep6,0,0.3036,0.0738
7,entdistill_ep6,2,0.3491,0.1275
7,entdistill_ep6,4,0.3583,0.1398
7,entdistill_ep6,8,0.3608,0.1529
7,entdistill_ep7,0,0.3036,0.0738
7,entdistill_ep7,2,0.3491,0.1275
7,entdistill_ep7,4,0.3583,0.1398
7,entdistill_ep7,8,0.3586,0.1474
7,entdistill_ep8,0,0.3036,0.0738
7,entdistill_ep8,2,0.3491,0.1275
7,entdistill_ep8,4,0.3583,0.1398
7,entdistill_ep8,8,0.3605,0.1471
7,entdistill_ep9,0,0.3036,0.0738
